id;check_out_date_time;due_date_time;returned_date_time
1;2020-02-21T01:34:56;2020-02-21T00:22:11;2020-02-20T21:04:29
2;2020-02-21T03:12:14;2020-02-21T04:45:56;2020-02-21T10:18:34
3;2020-02-21T07:27:17;2020-02-21T15:26:27;2020-02-21T02:27:55
4;2020-02-21T16:54:29;2020-02-20T19:41:56;2020-02-20T23:17:29
5;2020-02-20T21:57:05;2020-02-20T20:09:59;2020-02-21T14:33:04
6;2020-02-21T18:19:13;2020-02-21T09:04:56;2020-02-21T17:49:44
7;2020-02-20T21:26:11;2020-02-20T21:52:53;2020-02-21T12:39:30
8;2020-02-21T14:24:05;2020-02-21T07:17:57;2020-02-21T07:54:44
9;2020-02-21T02:03:46;2020-02-21T16:32:17;2020-02-21T03:48:54
10;2020-02-21T06:49:33;2020-02-21T17:57:56;2020-02-21T13:13:11
